ID,Author,Category,Sample,Acceleration Timestamp,Acceleration X,Acceleration Y,Acceleration Z,AngularVelocity X,AngularVelocity Y,AngularVelocity Z,MagneticField X,MagneticField Y,MagneticField Z,Orientation X,Orientation Y,Orientation Z
1,Tobias,Running,run_01,03-Jan-2023 23:38:36.389,6.0940,1.6847,9.2344,0.0393,-0.2263,0.3351,-3.6083,19.4278,-49.9242,-135.6737,-3.2553,-20.1098
2,Tobias,Running,run_01,03-Jan-2023 23:38:36.589,5.0686,3.5970,8.8565,0.4952,-0.2273,0.8411,-5.5058,19.5910,-48.2091,-141.5490,-1.6383,-24.9834
3,Tobias,Running,run_01,03-Jan-2023 23:38:36.789,3.2161,-1.2249,13.0585,-0.2674,0.6679,0.8026,-5.7101,13.5415,-49.0602,-159.7307,-2.3917,-31.3792
4,Tobias,Running,run_01,03-Jan-2023 23:38:36.988,3.3211,-2.4543,3.8236,0.8706,-1.1627,0.1881,3.1659,11.1851,-48.8551,-166.8058,-2.4148,-23.1964
5,Tobias,Running,run_01,03-Jan-2023 23:38:37.189,7.7310,5.5223,11.0445,-1.3238,0.9787,0.6074,0.7306,11.7834,-47.9871,-166.7293,-0.6352,-24.9239
6,Tobias,Running,run_01,03-Jan-2023 23:38:37.389,5.2843,7.0635,21.6668,0.6265,-1.4545,3.1442,4.2829,10.0852,-46.3866,178.0207,1.8654,-23.4187
7,Tobias,Running,run_01,03-Jan-2023 23:38:37.589,0.3120,-2.3392,4.9261,1.3581,-0.8052,0.3091,2.7692,0.0889,-45.9687,151.7931,-0.2396,-27.4089
8,Tobias,Running,run_01,03-Jan-2023 23:38:37.789,9.6100,1.7198,7.0343,-1.4142,0.8902,0.9293,-5.8941,-7.5118,-43.1641,142.0142,-6.0024,-39.7103
9,Tobias,Running,run_01,03-Jan-2023 23:38:37.989,4.2926,2.5666,8.3351,1.1032,-0.6626,0.5934,0.4901,-4.4374,-44.4927,141.7774,-0.8193,-30.7990
10,Tobias,Running,run_01,03-Jan-2023 23:38:38.189,3.2280,-2.3943,8.8421,-0.4799,1.1616,0.2967,-6.8523,-9.1034,-43.8677,131.7656,-3.4873,-37.3743
