ID,Author,Category,Sample,Acceleration Timestamp,Acceleration X,Acceleration Y,Acceleration Z,AngularVelocity X,AngularVelocity Y,AngularVelocity Z,MagneticField X,MagneticField Y,MagneticField Z,Orientation X,Orientation Y,Orientation Z
1,Regan,Dab,lunges_long,'28-Jan-2023 17:00:33.027',9.48982,-0.69815,3.23792,-0.34517,0.09834,-0.05879,-38.89480,-16.30612,-7.11729,-71.89557,5.49165,-68.85919
2,Regan,Dab,lunges_long,'28-Jan-2023 17:00:33.226',9.60612,-1.38657,3.40751,0.49594,-0.54167,0.13533,-39.65124,-15.80374,-3.83337,-75.54557,5.28913,-72.25038
3,Regan,Dab,lunges_long,'28-Jan-2023 17:00:33.424',8.72521,-0.03982,1.48117,0.09723,-0.58556,0.26277,-40.69074,-14.53201,2.19368,-78.30849,6.94150,-78.67212
4,Regan,Dab,lunges_long,'28-Jan-2023 17:00:33.623',8.42733,0.78048,1.42234,0.12475,-0.15281,0.13996,-41.82155,-13.35860,2.43933,-78.92073,8.47702,-79.28321
5,Regan,Dab,lunges_long,'28-Jan-2023 17:00:33.822',8.66189,1.36696,1.08704,0.18911,-0.29218,0.01587,-43.00242,-12.41434,3.80289,-79.70783,7.66226,-81.02826
6,Regan,Dab,lunges_long,'28-Jan-2023 17:00:34.021',13.12516,-3.53520,3.37788,0.08141,-0.18372,-0.49900,-44.54843,-11.62865,6.11890,-81.35841,5.47213,-83.59240
7,Regan,Dab,lunges_long,'28-Jan-2023 17:00:34.220',11.56420,-3.96795,1.98128,0.01106,0.33552,-0.52305,-45.95999,-11.84009,7.63306,-87.06937,3.07663,-83.60209
8,Regan,Dab,lunges_long,'28-Jan-2023 17:00:34.419',11.57827,-2.73960,2.12244,-0.13046,0.07347,1.25930,-47.76645,-8.36522,3.77481,-83.29953,9.53997,-80.76555
9,Regan,Dab,lunges_long,'28-Jan-2023 17:00:34.618',5.19495,0.06272,0.03218,-0.43142,0.61200,0.55401,-49.78043,-4.23555,-1.67921,-81.91917,17.70618,-75.19289
10,Regan,Dab,lunges_long,'28-Jan-2023 17:00:34.817',8.63240,-3.35752,3.13224,-0.15113,0.04804,-0.50637,-49.69984,-6.74554,-3.78896,-78.54106,15.23872,-74.99931
11,Regan,Dab,lunges_long,'28-Jan-2023 17:00:35.016',7.50554,-0.65204,1.54868,-0.64769,0.12214,0.05450,-49.56463,-8.55425,-5.86588,-70.46874,13.84539,-76.83247
12,Regan,Dab,lunges_long,'28-Jan-2023 17:00:35.215',6.33767,0.20477,1.79507,-0.48340,-0.19502,0.02222,-50.62806,-7.64166,-7.05512,-65.99599,14.73421,-78.56114
13,Regan,Dab,lunges_long,'28-Jan-2023 17:00:35.414',10.02914,-5.73323,2.84304,-0.14219,-0.31789,0.70966,-51.26201,-6.69391,-10.34067,-57.16569,16.46942,-80.31175
14,Regan,Dab,lunges_long,'28-Jan-2023 17:00:35.613',10.79001,-3.64657,-1.56365,0.18445,0.10548,0.60633,-52.56294,-7.42654,-9.03163,-56.39337,16.87772,-82.49094
15,Regan,Dab,lunges_long,'28-Jan-2023 17:00:35.812',12.68986,-7.29493,2.23171,-0.15172,-0.09344,0.34584,-53.64034,-3.47090,-6.57233,-59.94585,21.66433,-83.89671
16,Regan,Dab,lunges_long,'28-Jan-2023 17:00:36.011',8.43167,-2.20611,1.28523,0.27900,-0.05585,1.06231,-54.27696,5.24902,-3.88962,-60.82568,32.15069,-85.94954
17,Regan,Dab,lunges_long,'28-Jan-2023 17:00:36.210',5.15019,-2.28889,0.11451,0.25647,0.21398,-1.05583,-54.12663,2.66043,-4.16078,-63.48667,28.74804,-83.58612
18,Regan,Dab,lunges_long,'28-Jan-2023 17:00:36.408',8.64228,-0.52705,0.87927,-0.11748,-0.17102,-0.79623,-53.44956,-8.29459,-4.50867,-57.62007,17.19774,-85.47797
19,Regan,Dab,lunges_long,'28-Jan-2023 17:00:36.607',6.74707,-0.13173,1.06504,0.40019,-0.10472,-0.24035,-51.63309,-14.31947,-5.26912,-60.30739,10.77930,-83.89082
20,Regan,Dab,lunges_long,'28-Jan-2023 17:00:36.806',9.13550,-2.79364,1.28238,0.22237,0.46490,-0.07051,-50.52486,-16.73927,-3.78786,-64.35764,9.31415,-83.72347
21,Regan,Dab,lunges_long,'28-Jan-2023 17:00:37.005',13.69502,-6.21373,2.57794,0.29424,-0.47861,0.15495,-49.74828,-15.28818,1.07781,-72.59320,11.90467,-85.90806
22,Regan,Dab,lunges_long,'28-Jan-2023 17:00:37.204',17.01197,-4.23050,1.86497,0.23513,-0.03821,0.68443,-47.16570,-17.50024,-1.44055,-68.54965,9.63790,-83.48678
23,Regan,Dab,lunges_long,'28-Jan-2023 17:00:37.403',7.12024,-0.76865,-0.08981,0.44490,-0.23319,1.28735,-50.83749,-3.54326,1.86472,-74.22703,24.96516,-84.22177
24,Regan,Dab,lunges_long,'28-Jan-2023 17:00:37.602',5.51842,-1.48880,1.59508,-0.02581,0.12574,-0.27136,-51.71990,1.04782,3.60239,-79.91811,26.63513,-82.37225
25,Regan,Dab,lunges_long,'28-Jan-2023 17:00:37.801',6.51670,-2.56058,0.70803,-0.07389,-0.08913,-0.51634,-50.65341,-1.80512,5.96558,-81.70921,21.24421,-83.07451
26,Regan,Dab,lunges_long,'28-Jan-2023 17:00:38.000',5.83322,-1.23388,0.74859,0.20915,-0.10023,-0.29057,-49.42145,-5.65152,6.19048,-82.65501,15.77940,-82.89199
