ID,Author,Category,Sample,Acceleration Timestamp,Acceleration X,Acceleration Y,Acceleration Z,AngularVelocity X,AngularVelocity Y,AngularVelocity Z,MagneticField X,MagneticField Y,MagneticField Z,Orientation X,Orientation Y,Orientation Z
1,Tobias,Siu,sui_01,03-Jan-2023 23:49:07.441,3.5265,1.5665,8.7240,0.2343,-0.3439,0.5215,-27.1325,3.1072,-37.8539,-140.7812,-3.9812,-13.1539
2,Tobias,Siu,sui_01,03-Jan-2023 23:49:07.641,1.9624,0.1709,7.3035,0.4143,-0.0358,0.1004,-28.1116,2.4622,-36.4840,-143.8701,-6.0618,-15.1755
3,Tobias,Siu,sui_01,03-Jan-2023 23:49:07.841,2.9342,-2.4943,9.3430,-0.3788,0.8120,0.0243,-23.2285,5.1482,-39.8185,-144.1699,-2.1133,-7.4072
4,Tobias,Siu,sui_01,03-Jan-2023 23:49:08.041,2.2137,3.9169,17.0814,-0.4262,0.5900,-0.4858,-17.1178,10.9493,-42.3821,-128.7954,12.6351,1.1241
5,Tobias,Siu,sui_01,03-Jan-2023 23:49:08.241,-1.0583,5.1496,7.3383,2.0295,-1.0812,0.6059,-20.6064,0.2262,-41.3566,-131.6574,-1.5430,-4.8017
6,Tobias,Siu,sui_01,03-Jan-2023 23:49:08.441,0.7722,-2.8356,2.0736,-0.3237,-0.1741,3.0990,-28.6043,4.4137,-35.2723,-166.2889,-10.3953,-15.7974
7,Tobias,Siu,sui_01,03-Jan-2023 23:49:08.641,-2.8212,-2.9002,3.6958,0.8980,-0.1984,-1.6333,-26.1568,-2.6045,-36.4386,-154.8622,-15.8408,-10.3889
8,Tobias,Siu,sui_01,03-Jan-2023 23:49:08.841,5.2809,12.1607,5.1035,-0.6888,1.7184,-2.4275,-12.4062,-6.6654,-44.1885,-121.6981,-4.7548,10.0703
9,Tobias,Siu,sui_01,03-Jan-2023 23:49:09.041,-4.1332,-0.8920,23.5814,0.4195,-1.3759,1.7094,-21.7580,-4.6348,-40.4781,-132.3388,-7.9769,-3.3406
10,Tobias,Siu,sui_01,03-Jan-2023 23:49:09.241,-4.6760,-6.0277,0.1326,1.5125,-1.1485,0.8943,-31.8332,-0.3709,-32.5091,-146.4117,-12.5719,-19.0388
