,Author,Category,Sample,Acceleration Timestamp,Acceleration X,Acceleration Y,Acceleration Z,AngularVelocity X,AngularVelocity Y,AngularVelocity Z,MagneticField X,MagneticField Y,MagneticField Z,Orientation X,Orientation Y,Orientation Z
1,Tobias,Idle,idle_01,03-Jan-2023 23:31:27.808,4.6031,0.2992,8.5677,-0.010222,-0.55869,0.141699,-16.7112,21.4731,-47.9954,-150.0163,-1.6489,-28.4925
2,Tobias,Idle,idle_01,03-Jan-2023 23:31:28.008,3.8765,0.2646,7.3850,-0.204858,-0.086276,0.016605,-16.1951,21.3726,-48.2884,-149.9943,-2.0618,-27.8013
3,Tobias,Idle,idle_01,03-Jan-2023 23:31:28.208,2.9460,0.1771,7.8118,0.078775,-0.037243,-0.042761,-13.8586,21.2839,-48.5899,-150.3872,-1.7064,-24.6278
4,Tobias,Idle,idle_01,03-Jan-2023 23:31:28.408,0.5817,-0.0735,10.3492,0.046647,-0.070163,-0.144273,-6.2431,19.0074,-50.8166,-149.7349,-3.9098,-15.0833
5,Tobias,Idle,idle_01,03-Jan-2023 23:31:28.608,-0.9481,-0.4028,10.6845,0.069503,-0.078811,-0.234487,1.8553,21.8404,-49.5731,-147.2219,0.2465,-3.7311
6,Tobias,Idle,idle_01,03-Jan-2023 23:31:28.808,-1.3773,-0.1341,10.2871,0.041278,-0.15412,-0.318537,8.6937,23.4190,-47.7478,-143.6098,2.2144,6.8750
7,Tobias,Idle,idle_01,03-Jan-2023 23:31:29.008,-0.8653,-0.4802,12.2230,0.009751,-0.137568,-0.322446,12.2308,25.1195,-45.8382,-141.5747,4.7318,12.5173
8,Tobias,Idle,idle_01,03-Jan-2023 23:31:29.208,0.7823,-0.0506,13.6194,-0.001033,-0.16123,-0.321653,8.1094,24.1444,-47.6133,-144.0487,2.7966,5.1923
9,Tobias,Idle,idle_01,03-Jan-2023 23:31:29.408,2.0326,1.0825,9.4618,0.028345,-0.156935,-0.363653,-6.2745,20.5687,-50.0171,-148.0526,-2.3284,-14.8919
10,Tobias,Idle,idle_01,03-Jan-2023 23:31:29.608,6.4064,0.4537,5.4038,0.023521,-0.155272,-0.355206,-22.6074,17.3956,-46.8948,-155.7833,-6.2354,-38.4177
11,Tobias,Idle,idle_01,03-Jan-2023 23:31:29.808,7.0580,0.4413,4.0527,-0.033863,-0.16366,-0.353523,-35.6779,18.0718,-37.5270,-158.4149,-6.1013,-58.3630
